State,Statefips,County,Countyfips,Fips,Year,Total population of area,Public Supply total population served,Public supply total withdrawals,Domestic total self-supplied withdrawals,DO-WDelv ,Industrial self-supplied groundwater withdrawals total,Industrial self-supplied surface-water withdrawals total,Industrial self-supplied total withdrawals total,Irrigation total withdrawals fresh,Irrigation acres irrigated total,Livestock total withdrawals fresh,Aquaculture groundwater withdrawals total,Aquaculture surface-water withdrawals total,Aquaculture total withdrawals total,Mining groundwater withdrawals total,Mining surface-water withdrawals total,Mining total withdrawals total,Thermoelectric groundwater withdrawals total,Thermoelectric surface-water withdrawals total,Thermoelectric total withdrawals total,Thermoelectri total consumptive use total,Thermoelectric once-through groundwater withdrawals total,Thermoelectric once-through surface-water withdrawals total,Thermoelectric once-through total withdrawals,Thermoelectric once-through total consumptive use total,Thermoelectric recirculating groundwater withdrawals total,Thermoelectric recirculating total withdrawals total,Thermoelectric recirculating total consumptive use total,Total groundwater withdrawals total,Total surface-water withdrawals total,Total withdrawals total,Irrigation and Thermoelectric total consumptive use total
AL,1,Chilton County,21,01021,2015,43.94,34.63,4.4,0.6,2.82,0.39,0.0,0.39,0.49,0.57,0.16,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,2.14,6.1,0.49
AL,1,Choctaw County,23,01023,2015,13.17,5.0,1.21,0.41,0.66,0.0,46.61,46.61,0.17,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,46.8,48.46,0.17
AL,1,Clarke County,25,01025,2015,24.68,17.76,2.58,0.45,1.64,0.0,22.14,22.14,0.28,0.16,0.06,0.0,0.1,0.1,0.86,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,22.62,26.47,0.28
AL,1,Clay County,27,01027,2015,13.56,5.97,1.78,0.32,0.6,0.0,0.0,0.0,0.12,0.08,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,2.11,2.6,0.12
AL,1,Cleburne County,29,01029,2015,15.02,6.61,0.48,0.94,1.55,0.0,0.0,0.0,0.14,0.31,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.8,1.89,0.14
AL,1,Coffee County,31,01031,2015,51.21,42.46,6.34,0.8,4.33,1.74,0.0,1.74,3.87,5.07,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,3.64,13.54,3.87
AL,1,Colbert County,33,01033,2015,54.35,50.41,8.26,0.35,4.62,0.0,29.7,29.7,2.43,4.17,0.37,0.0,0.0,0.0,0.0,0.52,0.52,0.0,963.99,963.99,0.8,0.0,963.99,963.99,0.8,0.0,0.0,0.0,1.89,1003.73,1005.62,3.23
AL,1,Conecuh County,35,01035,2015,12.67,6.99,1.32,0.18,0.59,0.0,0.0,0.0,0.21,0.16,0.12,0.0,0.0,0.0,0.06,0.04,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.27,1.93,0.21
AL,1,Coosa County,37,01037,2015,10.72,5.84,0.27,0.33,0.72,0.0,0.0,0.0,0.1,0.06,0.04,0.0,0.0,0.0,0.08,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.16,0.86,0.1
AL,1,Covington County,39,01039,2015,37.84,24.18,4.09,1.0,2.81,0.0,0.0,0.0,3.46,2.21,0.55,0.0,0.0,0.0,0.04,0.0,0.04,0.0,1.14,1.14,1.04,0.0,0.0,0.0,0.0,0.0,1.14,1.04,6.63,3.65,10.28,4.5
AL,1,Crenshaw County,41,01041,2015,13.96,10.62,1.93,0.15,0.98,0.0,0.0,0.0,0.58,0.96,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,1.0,3.38,0.58
AL,1,Cullman County,43,01043,2015,82.01,79.42,23.24,0.19,5.92,0.74,2.43,3.17,0.91,0.73,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,26.78,29.12,0.91
AL,1,Dale County,45,01045,2015,49.57,40.47,5.9,0.68,3.73,0.0,0.0,0.0,2.08,2.84,0.4,0.0,0.0,0.0,0.05,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13,2.01,9.14,2.08
AL,1,Dallas County,47,01047,2015,41.13,31.71,5.91,0.66,2.89,0.24,30.66,30.9,3.2,3.17,0.26,7.79,3.9,11.69,0.5,0.22,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.89,37.45,53.34,3.2
AL,1,DeKalb County,49,01049,2015,71.13,51.77,5.91,1.34,4.73,0.57,0.0,0.57,2.64,1.03,2.1,0.0,0.0,0.0,0.04,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,8.86,12.62,2.64
AL,1,Elmore County,51,01051,2015,81.47,75.87,12.19,0.36,5.38,0.0,0.0,0.0,3.08,3.83,0.15,0.0,0.0,0.0,1.99,0.94,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,13.0,18.71,3.08
AL,1,Escambia County,53,01053,2015,37.79,30.84,5.0,0.51,2.73,1.46,32.54,34.0,1.74,1.96,0.17,0.0,0.0,0.0,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.19,33.38,42.57,1.74
AL,1,Etowah County,55,01055,2015,103.06,99.05,16.85,0.26,6.86,0.0,8.3,8.3,1.0,0.65,0.47,0.0,0.01,0.01,0.28,0.12,0.4,0.0,105.52,105.52,0.76,0.0,105.52,105.52,0.76,0.0,0.0,0.0,4.87,127.94,132.81,1.76
AL,1,Fayette County,57,01057,2015,16.76,9.74,1.7,0.49,1.17,0.0,0.0,0.0,0.37,0.45,0.18,0.0,0.0,0.0,0.0,0.31,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,2.43,3.05,0.37
AL,1,Franklin County,59,01059,2015,31.7,25.0,5.94,0.37,1.77,0.0,0.0,0.0,0.84,1.23,0.65,0.0,0.0,0.0,0.4,0.17,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,6.27,8.37,0.84
AL,1,Geneva County,61,01061,2015,26.78,15.54,1.78,0.68,1.62,0.0,0.0,0.0,5.47,8.86,0.74,0.13,0.0,0.13,0.05,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47,3.4,8.87,5.47
AL,1,Greene County,63,01063,2015,8.48,5.78,1.39,0.16,0.51,0.02,0.0,0.02,0.45,0.44,0.12,4.21,5.09,9.3,0.0,0.0,0.0,0.0,377.42,377.42,9.54,0.0,377.42,377.42,9.54,0.0,0.0,0.0,6.15,382.71,388.86,9.99
AL,1,Hale County,65,01065,2015,15.07,12.16,3.1,0.33,1.71,0.02,0.0,0.02,1.07,1.96,0.3,8.81,7.34,16.15,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.43,7.66,21.09,1.07
AL,1,Henry County,67,01067,2015,17.22,13.3,1.66,0.24,1.05,0.0,0.0,0.0,5.87,8.58,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,4.6,8.03,5.87
AL,1,Houston County,69,01069,2015,104.17,84.62,18.94,1.11,6.09,0.3,0.0,0.3,7.55,13.19,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.08,99.08,21.62,0.0,0.0,0.0,0.0,0.0,99.08,21.62,25.59,101.64,127.23,29.17
AL,1,Jackson County,71,01071,2015,52.42,38.8,11.79,0.86,3.47,0.0,9.1,9.1,1.28,0.96,0.66,0.0,0.0,0.0,0.06,0.02,0.08,0.0,352.22,352.22,0.5,0.0,352.22,352.22,0.5,0.0,0.0,0.0,1.98,374.01,375.99,1.78
AL,1,Jefferson County,73,01073,2015,660.37,654.32,48.98,0.38,49.23,0.87,0.0,0.87,5.88,3.15,0.08,0.0,0.0,0.0,1.02,0.77,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,47.73,57.98,5.88
AL,1,Lamar County,75,01075,2015,13.89,8.67,1.42,0.29,0.78,0.1,0.0,0.1,0.24,0.8,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.3,2.16,0.24
AL,1,Lauderdale County,77,01077,2015,92.6,77.82,12.39,1.17,7.34,0.0,0.0,0.0,1.8,1.04,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,12.04,15.81,1.8
AL,1,Lawrence County,79,01079,2015,33.12,27.63,7.73,0.35,2.13,0.0,0.0,0.0,2.58,4.88,0.84,0.0,0.01,0.01,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,10.75,11.53,2.58
AL,1,Lee County,81,01081,2015,156.99,147.6,15.83,0.72,10.53,0.0,0.0,0.0,3.17,2.09,0.07,0.03,0.04,0.07,0.22,0.1,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13,16.05,20.18,3.17
AL,1,Limestone County,83,01083,2015,91.66,78.97,11.52,0.99,6.41,0.0,0.0,0.0,9.75,15.88,0.48,0.01,0.0,0.01,0.0,0.16,0.16,0.0,2850.13,2850.13,10.44,0.0,2850.13,2850.13,10.44,0.0,0.0,0.0,7.53,2865.51,2873.04,20.19
AL,1,Lowndes County,85,01085,2015,10.46,9.71,0.95,0.05,0.81,4.24,0.0,4.24,5.73,5.1,0.68,0.65,0.65,1.3,0.16,0.08,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32,6.87,13.19,5.73
AL,1,Macon County,87,01087,2015,19.11,16.29,3.31,0.15,1.31,0.0,0.0,0.0,5.92,3.66,0.1,0.0,0.0,0.0,1.05,0.52,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99,6.06,11.05,5.92
AL,1,Madison County,89,01089,2015,353.09,342.66,67.15,0.72,31.67,0.0,0.56,0.56,9.15,11.61,0.28,0.0,0.0,0.0,0.28,0.12,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.12,43.14,78.26,9.15
AL,1,Marengo County,91,01091,2015,20.03,11.56,2.77,0.53,1.25,0.0,18.44,18.44,0.43,0.56,0.27,0.69,0.92,1.61,0.16,0.07,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,19.85,24.28,0.43
AL,1,Marion County,93,01093,2015,30.17,20.28,6.06,0.54,1.64,0.0,0.0,0.0,0.27,0.39,0.45,0.0,0.0,0.0,0.02,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,5.76,7.38,0.27
AL,1,Marshall County,95,01095,2015,94.73,88.68,23.76,0.43,9.48,0.08,0.0,0.08,2.07,1.13,1.12,0.0,0.0,0.0,0.08,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,22.34,27.58,2.07
AL,1,Mobile County,97,01097,2015,415.4,377.07,66.1,2.72,38.29,6.49,3.61,10.1,10.91,5.51,0.23,0.0,0.01,0.01,0.22,0.0,0.22,0.0,693.7,693.7,10.46,0.0,693.7,693.7,7.66,0.0,0.0,2.8,31.66,752.33,783.99,21.37
AL,1,Monroe County,99,01099,2015,21.67,15.78,2.31,0.38,1.41,0.12,49.31,49.43,0.57,1.05,0.15,0.07,0.07,0.14,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,49.63,53.13,0.57
AL,1,Montgomery County,101,01101,2015,226.52,221.78,28.0,0.3,14.6,1.78,0.0,1.78,6.27,3.47,0.91,0.2,0.2,0.4,0.8,0.38,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.86,17.98,38.84,6.27
AL,1,Morgan County,103,01103,2015,119.57,115.54,25.6,0.32,9.13,0.01,88.33,88.34,1.04,0.86,0.73,0.0,0.0,0.0,0.22,0.1,0.32,0.0,5.2,5.2,3.76,0.0,0.0,0.0,0.0,0.0,5.2,3.76,1.04,120.51,121.55,4.8
AL,1,Perry County,105,01105,2015,9.65,5.43,2.02,0.33,0.76,0.0,0.0,0.0,0.63,1.23,0.33,2.34,1.76,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,2.05,7.41,0.63
AL,1,Pickens County,107,01107,2015,20.86,16.58,3.0,0.37,1.7,0.01,0.0,0.01,1.95,4.24,0.4,0.61,0.77,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,2.92,7.11,1.95
AL,1,Pike County,109,01109,2015,33.05,29.07,4.58,0.33,2.66,0.0,0.0,0.0,1.46,3.36,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55,1.38,6.93,1.46
AL,1,Randolph County,111,01111,2015,22.7,11.91,1.22,0.58,1.22,0.0,0.0,0.0,0.14,0.14,0.59,0.0,0.0,0.0,0.08,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.68,2.65,0.14
AL,1,Russell County,113,01113,2015,59.66,55.43,8.45,0.3,5.2,1.44,26.0,27.44,7.45,4.78,0.12,0.21,0.0,0.21,0.34,0.17,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,40.55,44.48,7.45
AL,1,St. Clair County,115,01115,2015,87.07,78.06,8.93,0.51,5.62,0.0,6.1,6.1,1.72,0.75,0.29,0.0,0.0,0.0,0.52,0.26,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84,10.49,18.33,1.72
AL,1,Shelby County,117,01117,2015,208.71,201.87,14.21,0.44,12.28,0.0,0.0,0.0,5.17,2.45,0.1,0.0,0.0,0.0,3.17,0.0,3.17,0.0,462.24,462.24,3.9,0.0,446.52,446.52,0.11,0.0,15.72,3.79,15.57,469.76,485.33,9.07
AL,1,Sumter County,119,01119,2015,13.1,11.92,2.06,0.07,0.78,0.0,4.0,4.0,0.76,1.59,0.45,0.4,0.5,0.9,1.06,0.49,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,5.52,9.79,0.76
AL,1,Talladega County,121,01121,2015,80.86,60.46,16.0,1.74,7.26,0.0,26.59,26.59,4.78,6.09,0.22,0.0,0.0,0.0,0.44,0.2,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.28,37.69,49.97,4.78
AL,1,Tallapoosa County,123,01123,2015,40.84,34.76,11.87,0.42,2.74,0.0,0.0,0.0,0.91,1.44,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,12.81,13.29,0.91
AL,1,Tuscaloosa County,125,01125,2015,203.98,192.5,31.43,0.75,13.04,1.53,0.67,2.2,5.66,2.93,0.14,0.24,0.33,0.57,0.0,1.27,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59,37.43,42.02,5.66
AL,1,Walker County,127,01127,2015,65.29,57.7,43.88,0.45,3.97,0.0,0.0,0.0,0.72,0.44,0.19,0.0,0.05,0.05,0.13,0.41,0.54,0.0,664.34,664.34,33.2,0.0,638.21,638.21,13.92,0.0,26.13,19.28,1.17,709.0,710.17,33.92
AL,1,Washington County,129,01129,2015,16.8,9.16,2.81,0.52,1.12,5.83,3.42,9.25,0.23,0.15,0.13,0.0,0.02,0.02,3.22,0.0,3.22,0.0,39.94,39.94,1.52,0.0,37.21,37.21,0.34,0.0,2.73,1.18,12.51,43.61,56.12,1.75
AL,1,Wilcox County,131,01131,2015,11.06,6.59,2.8,0.22,0.56,0.0,19.67,19.67,0.45,0.29,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,22.11,23.29,0.45
AL,1,Winston County,133,01133,2015,23.88,15.25,0.81,0.43,1.76,0.0,0.0,0.0,0.18,0.14,0.28,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,1.14,1.75,0.18
AK,2,Aleutians East Borough,13,02013,2015,3.34,2.29,1.22,0.05,0.21,0.0,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.96,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.69,2.77,0.0
AK,2,Aleutians West Census Area,16,02016,2015,5.7,5.47,2.27,0.02,0.44,0.0,0.49,0.49,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.22,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2.95,3.02,0.01
AK,2,Municipality of Anchorage,20,02020,2015,298.7,261.67,44.49,2.26,34.18,0.25,0.0,0.25,0.41,0.66,0.0,16.45,65.79,82.24,0.01,0.73,0.74,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.43,31.84,98.55,130.39,0.8
AK,2,Bethel Census Area,50,02050,2015,17.95,10.73,0.3,0.1,0.38,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.03,0.41,0.0
AK,2,Bristol Bay Borough,60,02060,2015,0.89,0.49,0.07,0.03,0.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,0.0
AK,2,Denali Borough,68,02068,2015,1.92,0.46,0.04,0.1,0.14,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,32.46,32.46,0.25,0.0,32.46,32.46,0.25,0.0,0.0,0.0,0.16,32.47,32.63,0.27
AK,2,Dillingham Census Area,70,02070,2015,5.0,3.45,0.25,0.1,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.0
AK,2,Fairbanks North Star Borough,90,02090,2015,99.63,95.38,14.12,0.23,12.25,0.01,0.0,0.01,0.24,0.53,0.0,0.27,0.82,1.09,0.0,20.99,20.99,0.22,33.62,33.84,0.41,0.0,33.62,33.62,0.25,0.22,0.22,0.16,15.09,55.43,70.52,0.63
AK,2,Haines Borough,100,02100,2015,2.53,1.61,0.29,0.03,0.13,0.06,0.0,0.06,0.0,0.0,0.0,0.08,1.36,1.44,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.63,1.84,0.0
AK,2,Hoonah-Angoon Census Area,105,02105,2015,2.13,1.89,0.53,0.01,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.09,0.54,0.0
AK,2,City & Borough of Juneau,110,02110,2015,32.76,30.95,4.8,0.1,4.49,0.91,0.0,0.91,0.01,0.02,0.0,22.77,10.26,33.03,0.0,7.25,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.15,20.95,46.1,0.01
AK,2,Kenai Peninsula Borough,122,02122,2015,58.06,21.97,3.63,2.06,5.51,0.37,0.0,0.37,0.06,0.11,0.01,0.0,3.7,3.7,5.19,0.1,5.29,0.41,0.0,0.41,0.29,0.0,0.0,0.0,0.0,0.41,0.41,0.29,8.9,6.63,15.53,0.35
AK,2,Ketchikan Gateway Borough,130,02130,2015,13.71,10.08,5.7,0.18,0.94,0.0,0.91,0.91,0.0,0.0,0.0,0.0,41.2,41.2,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,48.03,48.12,0.0
AK,2,Kodiak Island Borough,150,02150,2015,13.89,13.69,7.64,0.01,1.01,0.0,1.19,1.19,0.0,0.0,0.0,0.3,6.9,7.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,15.82,16.14,0.0
AK,2,Kusilvak Census Area,158,02158,2015,8.12,7.4,0.48,0.15,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.46,0.66,0.0
AK,2,Lake and Peninsula Borough,164,02164,2015,1.56,1.52,0.12,0.0,0.1,0.0,0.21,0.21,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.28,0.34,0.0
AK,2,Matanuska-Susitna Borough,170,02170,2015,101.1,19.32,2.69,4.42,6.64,0.0,0.0,0.0,0.54,1.13,0.02,0.0,0.0,0.0,0.0,0.79,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64,0.82,8.46,0.49
AK,2,Nome Census Area,180,02180,2015,9.85,9.72,0.68,0.01,0.62,0.02,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.22,0.75,0.0
AK,2,North Slope Borough,185,02185,2015,9.69,7.77,0.38,1.07,1.36,0.01,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,83.92,41.17,125.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.95,42.62,126.57,0.0
AK,2,Northwest Arctic Borough,188,02188,2015,7.75,7.32,0.57,0.02,0.54,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,4.85,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,5.4,5.45,0.0
